Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Physical_Activity,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Electricity_Access,Region,Transport_Mode,Class_Size,Language_Section
17,78,Medium,Medium,Yes,6,88,Yes,1,Medium,Private,3,College,Near,Female,68,no,Littoral,Walk,26,Bilingual
26,61,Medium,Low,Yes,6,70,Yes,2,Low,Public,3,High School,Moderate,Female,64,sometimes,Far North,Bike,162,Anglophone
22,86,Low,Medium,Yes,7,72,Yes,3,Low,Public,2,High School,Moderate,Male,68,sometimes,West,Bike,89,Bilingual
9,77,Medium,Medium,No,5,57,Yes,2,Medium,Public,3,High School,Near,Male,63,yes,Littoral,Walk,165,Anglophone
22,71,Low,Medium,Yes,7,65,Yes,1,Medium,Public,4,College,Moderate,Male,64,no,South West,Private car,158,Bilingual
18,68,High,Medium,No,7,72,Yes,0,Medium,Public,3,College,Near,Male,64,no,Centre,Private car,46,Anglophone
16,86,Low,Medium,Yes,8,63,Yes,2,Medium,Public,4,High School,Near,Male,67,sometimes,South,Walk,116,Anglophone
24,77,High,Low,No,8,96,Yes,0,Medium,Public,3,High School,Near,Female,67,sometimes,Adamawa,Private car,174,Francophone
26,67,Medium,High,Yes,7,51,Yes,2,High,Private,4,Postgraduate,Far,Female,66,sometimes,West,Taxi,193,Anglophone
26,88,Medium,High,Yes,5,79,Yes,1,Low,Private,4,College,Moderate,Male,72,yes,Far North,Bus,73,Francophone
15,83,Medium,High,No,5,89,No,1,Medium,Public,2,High School,Near,Female,65,sometimes,Far North,Bus,61,Anglophone
18,94,Medium,Medium,Yes,6,87,Yes,1,Medium,Public,4,High School,Near,Male,71,no,Far North,Bus,121,Bilingual
22,65,High,Low,No,8,82,Yes,2,Medium,Public,1,Postgraduate,Near,Female,66,sometimes,South West,Taxi,70,Anglophone
26,91,Medium,Low,Yes,8,71,Yes,0,Low,Private,3,High School,Moderate,Male,68,sometimes,Adamawa,Taxi,46,Anglophone
17,87,Medium,Medium,No,7,96,Yes,1,High,Public,5,Postgraduate,Near,Female,70,yes,Littoral,Taxi,65,Bilingual
19,65,Medium,Medium,Yes,10,66,Yes,0,Low,Public,3,High School,Moderate,Male,62,sometimes,Adamawa,Private car,38,Francophone
13,88,Low,High,Yes,9,88,Yes,2,Low,Private,4,Postgraduate,Far,Male,68,no,Littoral,Taxi,189,Anglophone
13,78,Medium,High,Yes,9,96,Yes,2,Low,Public,3,College,Moderate,Male,67,yes,North West,Taxi,26,Anglophone
25,98,Low,High,Yes,8,56,No,0,Medium,Private,3,Postgraduate,Near,Male,71,sometimes,Adamawa,Bike,34,Anglophone
28,66,Medium,High,Yes,8,97,Yes,0,Medium,Public,2,High School,Near,Male,68,sometimes,South West,Bike,128,Francophone
20,86,Medium,Medium,Yes,8,89,Yes,1,Low,Public,3,Postgraduate,Near,Male,69,yes,South West,Walk,192,Bilingual
26,75,Low,High,Yes,4,81,Yes,3,Medium,Private,2,High School,Moderate,Male,70,sometimes,South West,Walk,131,Anglophone
22,98,Medium,High,No,5,69,No,1,Low,Public,4,High School,Moderate,Female,69,no,East,Private car,86,Francophone
16,73,Medium,Medium,No,7,95,Yes,1,Low,Public,4,College,Near,Male,65,sometimes,Adamawa,Private car,63,Francophone
22,98,Medium,Low,Yes,7,52,No,3,Medium,Public,3,College,Near,Female,70,sometimes,North West,Taxi,25,Bilingual
29,96,Medium,Low,Yes,7,72,Yes,1,Low,Public,3,High School,Moderate,Male,71,no,Far North,Bus,141,Anglophone
20,71,Medium,Medium,Yes,7,88,Yes,1,Low,Public,4,College,Near,Female,65,no,Far North,Walk,183,Francophone
29,92,Low,Medium,No,4,91,Yes,2,Medium,Public,1,Postgraduate,Near,Female,72,sometimes,Adamawa,Private car,130,Bilingual
4,100,High,High,Yes,8,60,Yes,0,Medium,Private,4,College,Moderate,Male,69,no,South West,Bus,154,Bilingual
25,70,Medium,Medium,No,7,52,Yes,1,Medium,Public,3,Postgraduate,Near,Female,66,yes,Centre,Walk,147,Bilingual
21,77,Low,Medium,Yes,7,90,Yes,4,Medium,Private,3,Postgraduate,Moderate,Male,68,no,North West,Bike,94,Francophone
18,81,High,Low,Yes,8,71,Yes,0,Medium,Public,3,High School,Moderate,Female,65,no,Adamawa,Taxi,101,Francophone
21,72,Medium,Medium,Yes,5,57,Yes,1,High,Public,5,College,Moderate,Male,64,sometimes,North West,Bike,95,Francophone
8,61,Medium,Medium,Yes,7,54,Yes,1,High,Public,3,College,Near,Male,60,no,South,Bike,73,Bilingual
19,69,Medium,High,Yes,7,82,Yes,1,Low,Public,2,High School,Near,Male,65,yes,Littoral,Walk,78,Anglophone
22,71,High,Medium,No,6,79,Yes,1,Low,Public,3,High School,Near,Male,66,yes,Far North,Bike,78,Bilingual
29,78,High,High,Yes,4,93,Yes,5,Medium,Public,3,College,Near,Male,74,yes,North,Private car,113,Bilingual
17,67,Medium,Medium,Yes,5,52,Yes,2,Medium,Private,3,High School,Far,Female,62,yes,South,Bus,22,Anglophone
15,95,Medium,Medium,No,7,93,Yes,2,Low,Public,4,College,Moderate,Male,70,yes,South West,Bus,23,Francophone
17,88,Medium,High,Yes,7,94,Yes,0,Medium,Public,3,High School,Near,Male,69,no,Littoral,Private car,145,Bilingual
25,63,Medium,High,Yes,7,72,Yes,3,Medium,Private,4,College,Far,Male,67,yes,North West,Bike,56,Anglophone
22,86,Low,Low,No,6,54,Yes,2,Medium,Public,0,High School,Moderate,Male,64,sometimes,South,Private car,193,Francophone
17,86,Medium,High,No,5,97,Yes,3,High,Public,3,College,Near,Male,71,no,South West,Taxi,180,Bilingual
23,98,Medium,Low,Yes,7,54,Yes,0,Medium,Public,3,College,Near,Female,68,yes,East,Walk,82,Bilingual
21,60,High,Medium,No,7,80,Yes,0,Medium,Public,4,College,Near,Male,64,yes,West,Taxi,190,Francophone
26,70,Medium,Low,Yes,8,75,Yes,1,Medium,Private,4,High School,Far,Female,63,yes,North,Bike,41,Bilingual
16,97,Medium,Medium,Yes,6,92,Yes,0,High,Private,4,College,Near,Male,71,yes,South West,Private car,141,Francophone
18,97,High,Medium,Yes,4,75,Yes,0,Low,Public,3,High School,Moderate,Male,69,sometimes,Littoral,Private car,170,Anglophone
18,89,High,Medium,Yes,4,73,Yes,3,High,Private,2,College,Near,Female,100,sometimes,Centre,Bus,146,Bilingual
11,91,Medium,Medium,No,6,94,Yes,3,Medium,Public,3,College,Moderate,Male,68,no,North West,Bike,60,Francophone
22,64,Low,Medium,No,7,98,No,1,Medium,Public,3,High School,Near,Male,62,sometimes,North West,Bike,56,Anglophone
22,81,Medium,Medium,Yes,7,77,Yes,2,Medium,Public,3,Postgraduate,Far,Female,68,no,Littoral,Taxi,113,Anglophone
20,69,High,High,Yes,6,73,Yes,2,Low,Private,3,High School,Far,Male,66,no,East,Walk,25,Bilingual
19,67,Low,Medium,No,5,92,Yes,0,Medium,Public,3,College,Near,Male,64,yes,Littoral,Taxi,181,Francophone
12,92,Medium,Medium,No,4,92,Yes,2,Medium,Public,3,High School,Moderate,Male,67,yes,Littoral,Bike,96,Anglophone
17,65,Medium,High,Yes,8,66,Yes,1,High,Public,4,Postgraduate,Moderate,Female,65,no,Littoral,Bus,197,Anglophone
18,79,Medium,Medium,Yes,7,79,Yes,0,Low,Private,3,College,Far,Male,65,no,Adamawa,Bike,102,Anglophone
15,98,High,Medium,No,6,58,Yes,0,Low,Public,3,College,Near,Male,69,no,Adamawa,Bike,49,Bilingual
19,67,Medium,Medium,No,5,82,Yes,1,Low,Private,3,High School,Near,Male,63,sometimes,North,Private car,60,Bilingual
22,99,Medium,Low,Yes,6,92,Yes,3,Medium,Public,4,Postgraduate,Moderate,Male,72,yes,West,Walk,143,Anglophone
31,100,Medium,Medium,No,7,59,Yes,2,High,Public,5,Postgraduate,Moderate,Male,76,sometimes,Littoral,Private car,58,Francophone
21,82,Medium,High,Yes,7,66,Yes,3,Low,Public,3,College,Near,Female,69,sometimes,South,Private car,125,Bilingual
22,67,Medium,Medium,Yes,7,72,Yes,3,Low,Public,2,Postgraduate,Moderate,Female,67,sometimes,South West,Bike,78,Bilingual
20,73,High,Medium,Yes,9,92,Yes,2,Medium,Public,3,College,Near,Male,69,no,West,Bike,88,Francophone
8,77,High,Medium,Yes,6,87,Yes,0,Low,Public,2,High School,Moderate,Male,63,yes,East,Bus,170,Bilingual
20,72,Medium,Medium,No,9,66,Yes,3,Low,Private,3,Postgraduate,Near,Male,67,yes,South West,Walk,44,Bilingual
20,71,Low,High,Yes,7,62,Yes,2,Medium,Public,5,College,Near,Male,66,no,South West,Private car,152,Bilingual
35,99,High,High,Yes,7,85,Yes,2,Medium,Private,2,Postgraduate,Near,Female,79,no,Littoral,Private car,175,Anglophone
19,66,Medium,Medium,No,8,74,Yes,1,High,Public,3,High School,Near,Female,64,yes,Far North,Bike,59,Francophone
22,89,High,High,Yes,6,80,Yes,1,High,Public,3,High School,Near,Female,73,no,North West,Walk,185,Anglophone
20,60,Low,High,No,7,82,Yes,2,Low,Public,4,High School,Near,Male,63,sometimes,North,Bike,83,Francophone
13,84,Medium,Medium,No,5,78,Yes,1,Low,Public,2,High School,Near,Male,65,sometimes,West,Taxi,108,Bilingual
27,97,Low,High,Yes,8,81,Yes,0,High,Public,5,High School,Near,Female,73,yes,West,Bus,113,Anglophone
25,72,High,High,Yes,8,94,Yes,2,Low,Private,4,College,Moderate,Female,70,yes,South,Walk,46,Anglophone
25,67,High,Medium,No,9,93,Yes,2,Low,Public,3,High School,Near,Female,68,sometimes,South,Bike,103,Francophone
15,86,Medium,Medium,Yes,7,57,Yes,1,Medium,Public,3,College,Near,Male,65,yes,North West,Taxi,72,Francophone
28,89,Low,High,Yes,9,79,Yes,0,Low,Private,1,College,Moderate,Female,71,no,Centre,Taxi,148,Bilingual
12,88,Low,Medium,No,6,72,Yes,2,Medium,Public,2,College,Far,Male,64,sometimes,South,Bike,29,Francophone
24,73,Medium,High,Yes,8,64,Yes,4,High,Private,3,College,Moderate,Male,68,yes,Adamawa,Bike,145,Francophone
33,70,Medium,Medium,Yes,6,82,Yes,1,Low,Public,4,College,Near,Male,69,sometimes,West,Walk,66,Anglophone
14,98,Medium,Medium,No,7,76,Yes,0,Medium,Private,4,College,Moderate,Female,69,no,Centre,Taxi,35,Francophone
17,97,Medium,Medium,No,8,89,Yes,1,Low,Public,4,High School,Far,Male,69,no,South West,Taxi,152,Francophone
21,78,Medium,Medium,Yes,10,55,Yes,1,High,Private,2,College,Near,Male,67,no,South,Walk,153,Francophone
17,94,Low,Medium,Yes,8,65,Yes,4,Medium,Public,6,High School,Far,Female,68,no,South,Bike,181,Bilingual
11,78,Medium,High,Yes,8,51,Yes,2,Low,Public,3,Postgraduate,Near,Male,64,no,South West,Private car,164,Francophone
20,77,Medium,Medium,No,6,87,Yes,0,Low,Public,4,High School,Near,Female,66,yes,South West,Bike,51,Anglophone
14,66,High,Low,No,7,96,Yes,3,Low,Public,3,High School,Near,Male,63,no,Centre,Private car,161,Anglophone
23,77,Medium,Medium,Yes,7,79,Yes,0,Low,Public,2,High School,Moderate,Male,66,no,Centre,Private car,75,Francophone
14,81,Medium,Medium,No,9,81,Yes,1,Low,Private,3,Postgraduate,Near,Female,66,yes,Adamawa,Walk,187,Anglophone
29,61,Medium,High,Yes,7,52,Yes,3,Low,Private,3,College,Near,Female,67,yes,Littoral,Private car,44,Anglophone
15,78,High,High,No,9,75,Yes,1,Low,Public,1,High School,Near,Male,65,yes,Far North,Bike,69,Anglophone
18,91,Low,Medium,Yes,5,76,Yes,1,Medium,Public,3,High School,Near,Female,68,sometimes,East,Taxi,89,Anglophone
25,87,Medium,Low,No,9,52,Yes,1,Low,Private,2,High School,Near,Male,68,no,South,Walk,145,Bilingual
13,85,High,Medium,No,6,89,Yes,0,High,Private,1,High School,Near,Male,65,sometimes,North,Taxi,124,Anglophone
21,96,Medium,Medium,No,8,64,Yes,2,Medium,Public,0,College,Near,Male,71,no,North West,Taxi,46,Francophone
28,61,Medium,High,No,6,86,Yes,1,Low,Private,3,Postgraduate,Far,Male,65,yes,North West,Taxi,198,Bilingual
10,82,Medium,Low,No,8,70,Yes,3,Low,Public,1,Postgraduate,Near,Female,64,yes,East,Private car,24,Anglophone
21,91,High,Medium,No,6,100,Yes,0,High,Private,2,Postgraduate,Near,Female,72,yes,North West,Taxi,118,Bilingual
22,82,Medium,Medium,No,9,61,Yes,2,Low,Public,2,High School,Near,Female,65,no,East,Bike,124,Anglophone
25,73,Medium,High,No,8,53,No,0,Low,Private,5,Postgraduate,Near,Female,66,sometimes,West,Taxi,46,Anglophone
13,65,Low,High,No,6,99,Yes,0,Low,Private,4,High School,Near,Male,61,yes,West,Walk,106,Bilingual
12,96,Low,High,Yes,8,62,Yes,2,Medium,Public,3,College,Near,Female,68,sometimes,East,Bus,33,Bilingual
23,79,High,High,Yes,8,82,Yes,3,Medium,Public,3,Postgraduate,Moderate,Female,69,no,Centre,Private car,121,Francophone
22,95,Medium,High,Yes,6,69,Yes,1,Low,Public,3,College,Near,Female,72,no,North,Bike,85,Anglophone
22,83,Medium,High,Yes,5,82,Yes,2,Low,Public,3,Postgraduate,Near,Female,71,yes,West,Private car,85,Anglophone
22,87,High,High,No,5,80,Yes,2,Low,Public,3,High School,Near,Female,70,yes,Centre,Private car,90,Anglophone
16,92,Medium,High,Yes,5,85,Yes,1,Low,Public,2,High School,Moderate,Male,68,sometimes,East,Walk,110,Bilingual
21,86,Low,Medium,Yes,5,51,Yes,2,Low,Public,2,High School,Moderate,Female,67,sometimes,North,Bus,85,Bilingual
22,76,Medium,Medium,Yes,8,92,Yes,1,Low,Public,4,High School,Near,Female,68,no,Littoral,Bike,74,Bilingual
16,81,Medium,Medium,Yes,8,74,Yes,3,Medium,Public,2,Postgraduate,Near,Female,68,yes,Centre,Private car,33,Anglophone
31,92,Medium,Medium,Yes,4,76,Yes,2,Medium,Public,4,High School,Far,Male,72,no,Centre,Private car,154,Francophone
23,75,Low,High,No,6,71,Yes,0,Medium,Public,2,College,Near,Male,65,no,Adamawa,Taxi,95,Anglophone
13,76,Medium,High,No,5,99,Yes,2,Medium,Private,4,High School,Near,Female,66,sometimes,North West,Private car,109,Anglophone
24,64,Medium,Medium,Yes,8,90,Yes,0,Low,Public,3,High School,Near,Male,65,no,Adamawa,Taxi,129,Francophone
14,97,Medium,Medium,Yes,6,66,Yes,2,Medium,Public,3,College,Near,Female,67,yes,South West,Bike,91,Anglophone
25,64,Medium,High,No,5,89,Yes,2,Medium,Public,4,College,Far,Male,66,yes,Adamawa,Walk,60,Francophone
27,86,Medium,Medium,No,7,72,Yes,1,Medium,Public,4,High School,Far,Male,69,yes,North West,Walk,147,Anglophone
15,77,Medium,Medium,Yes,8,94,Yes,0,High,Public,3,College,Moderate,Male,66,yes,North,Taxi,27,Bilingual
26,76,Medium,High,Yes,6,52,Yes,4,High,Public,3,High School,Near,Male,69,sometimes,Centre,Taxi,30,Anglophone
22,87,High,Low,Yes,7,68,No,0,Low,Public,2,High School,Near,Male,67,sometimes,Adamawa,Private car,191,Bilingual
25,63,High,Medium,Yes,6,71,Yes,1,Medium,Private,3,High School,Near,Male,66,sometimes,Littoral,Bike,52,Francophone
31,84,Medium,Medium,Yes,9,87,Yes,2,Low,Private,3,College,Far,Male,71,sometimes,South,Bus,159,Anglophone
19,91,High,Low,No,6,59,Yes,5,Medium,Public,4,College,Moderate,Male,70,no,Far North,Walk,95,Francophone
15,93,High,Medium,No,6,64,Yes,2,Medium,Public,4,Postgraduate,Near,Male,71,no,Adamawa,Taxi,199,Francophone
15,67,Medium,Medium,Yes,7,86,Yes,1,High,Private,3,Postgraduate,Near,Male,66,no,Adamawa,Taxi,199,Bilingual
15,96,Medium,Medium,No,7,54,No,3,Medium,Public,2,High School,Near,Male,67,sometimes,Adamawa,Bike,97,Anglophone
20,86,High,Low,No,8,60,Yes,1,Medium,Public,4,College,Far,Female,66,sometimes,South,Private car,190,Anglophone
22,95,Medium,High,No,9,88,Yes,0,Low,Public,2,Postgraduate,Near,Male,72,sometimes,Adamawa,Walk,170,Francophone
22,79,Medium,Medium,No,9,94,Yes,1,Medium,Public,3,High School,Near,Male,68,sometimes,Centre,Walk,188,Bilingual
25,82,Medium,Medium,No,6,86,No,3,Low,Public,3,High School,Near,Female,69,yes,Centre,Taxi,48,Bilingual
20,97,Medium,Medium,Yes,7,76,Yes,2,Low,Private,3,Postgraduate,Near,Male,71,yes,East,Bike,53,Francophone
29,96,Medium,Medium,Yes,9,55,No,0,Medium,Public,2,Postgraduate,Far,Female,70,sometimes,North,Taxi,104,Francophone
18,78,Medium,Medium,No,9,91,Yes,2,High,Public,4,College,Far,Female,67,sometimes,South,Private car,114,Bilingual
36,71,Medium,Medium,Yes,6,56,Yes,2,High,Public,2,High School,Far,Male,69,yes,West,Bike,72,Francophone
24,76,Low,High,No,8,69,Yes,2,Medium,Public,1,High School,Moderate,Male,65,sometimes,Centre,Bus,122,Bilingual
15,76,High,High,No,8,53,Yes,1,Low,Public,4,College,Near,Male,65,yes,North West,Walk,177,Bilingual
14,71,Medium,Medium,Yes,8,85,Yes,2,Medium,Public,4,High School,Near,Male,64,no,North,Walk,129,Anglophone
23,71,Low,Low,Yes,9,75,Yes,1,Low,Public,2,College,Near,Male,63,sometimes,South,Bike,124,Francophone
19,94,Low,Medium,Yes,5,95,Yes,3,Low,Public,2,High School,Moderate,Male,69,no,Adamawa,Private car,63,Bilingual
24,63,Medium,Low,Yes,6,57,Yes,1,Low,Private,5,College,Near,Female,64,no,Far North,Bike,34,Anglophone
23,87,High,High,Yes,8,91,Yes,0,High,Private,3,High School,Moderate,Male,72,yes,Adamawa,Bus,172,Bilingual
20,67,Low,Medium,Yes,7,76,Yes,0,Medium,Public,4,High School,Near,Male,63,no,West,Bus,25,Francophone
15,74,Low,High,Yes,4,68,Yes,3,Low,Public,3,High School,Near,Female,64,sometimes,Adamawa,Taxi,182,Anglophone
11,62,Medium,High,Yes,5,82,Yes,3,High,Private,4,College,Moderate,Male,64,sometimes,North West,Bus,126,Anglophone
17,71,Medium,Medium,Yes,8,90,Yes,5,Medium,Public,1,Postgraduate,Far,Male,67,yes,South,Bus,125,Francophone
25,91,Medium,Medium,No,8,72,Yes,2,Medium,Public,0,Postgraduate,Near,Male,71,no,Far North,Walk,47,Francophone
21,95,Medium,Medium,No,5,62,Yes,1,Medium,Public,4,High School,Near,Male,70,no,North West,Walk,52,Anglophone
13,69,Medium,Low,Yes,9,96,Yes,0,High,Private,4,High School,Far,Female,61,sometimes,Littoral,Taxi,123,Anglophone
21,79,Medium,High,Yes,7,66,Yes,2,Low,Public,4,College,Moderate,Male,67,sometimes,East,Walk,56,Bilingual
22,79,High,Medium,No,5,100,Yes,4,High,Public,3,College,Near,Male,72,sometimes,South West,Bike,120,Bilingual
15,95,Low,Low,Yes,6,88,Yes,1,Low,Public,5,High School,Near,Male,66,yes,East,Bus,141,Anglophone
21,91,Medium,High,Yes,5,84,Yes,1,High,Public,2,High School,Near,Male,70,no,South West,Walk,195,Anglophone
20,81,High,Medium,Yes,6,51,No,3,Medium,Public,4,High School,Near,Male,67,no,Centre,Bike,97,Bilingual
13,87,High,Low,Yes,4,72,Yes,2,Medium,Public,3,High School,Moderate,Female,67,sometimes,North,Bike,184,Francophone
22,94,Low,Medium,Yes,7,75,Yes,2,High,Public,2,College,Near,Female,71,no,Littoral,Walk,186,Anglophone
23,60,High,Medium,Yes,8,69,Yes,1,Low,Private,4,College,Near,Male,66,sometimes,West,Private car,67,Anglophone
26,76,Medium,Medium,Yes,5,57,Yes,1,Medium,Public,4,High School,Near,Male,68,sometimes,Far North,Private car,163,Francophone
26,96,Medium,Medium,Yes,7,68,Yes,3,High,Private,3,College,Near,Female,74,yes,Centre,Taxi,53,Francophone
12,90,Medium,Low,Yes,6,54,No,1,High,Public,3,High School,Near,Male,64,sometimes,East,Taxi,173,Bilingual
14,82,Medium,Medium,No,8,65,Yes,1,Low,Private,3,College,Near,Male,65,no,Littoral,Private car,103,Bilingual
23,81,Low,Medium,Yes,4,54,Yes,1,Low,Public,3,College,Near,Male,66,no,Littoral,Private car,107,Francophone
23,74,Medium,High,Yes,8,88,Yes,0,Medium,Public,3,High School,Near,Male,66,no,North West,Taxi,186,Bilingual
23,81,Medium,Low,No,4,84,Yes,2,Medium,Public,5,High School,Near,Male,68,no,West,Taxi,88,Anglophone
43,86,High,Medium,Yes,7,97,Yes,2,Medium,Public,1,High School,Near,Female,78,sometimes,Adamawa,Walk,43,Anglophone
23,77,Medium,High,Yes,6,69,Yes,1,Medium,Private,2,High School,Moderate,Female,67,no,North,Bus,108,Bilingual
27,89,Medium,High,Yes,6,89,Yes,3,Medium,Private,3,High School,Near,Male,74,sometimes,North West,Taxi,149,Bilingual
26,94,Medium,High,No,5,79,Yes,1,Low,Public,2,Postgraduate,Near,Male,74,sometimes,West,Private car,105,Francophone
24,66,Medium,Low,No,9,82,Yes,1,Medium,Public,2,High School,Near,Female,62,no,Littoral,Taxi,120,Francophone
18,78,High,Medium,Yes,5,77,No,2,Medium,Public,4,High School,Far,Male,66,sometimes,West,Walk,104,Anglophone
25,76,Medium,Medium,Yes,5,89,Yes,3,Medium,Public,3,High School,Far,Female,69,sometimes,Littoral,Walk,174,Francophone
15,87,Medium,High,Yes,10,52,Yes,2,Low,Private,3,College,Near,Male,68,yes,Littoral,Walk,123,Bilingual
19,70,Medium,Low,No,7,54,Yes,0,Medium,Public,2,High School,Moderate,Male,89,sometimes,Far North,Bus,182,Francophone
